,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
933,DENTSU AEGIS NETWORK HUB2050,Knowledge Engineer,"GUOCO TOWER, 1 WALLICH STREET 078881","Permanent, Full Time",Executive,Information Technology,"$4,000to$8,000","Roles & ResponsibilitiesAbout Dentsu Aegis Network  Dentsu Aegis Network helps clients build consumer relationships by communicating their products and brands effectively. Our distinctive and innovative range of products and services include marketing and communications strategies through digital marketing and creative execution, media planning and buying, creative services, technology applications, SEO, content creation, brand tracking and marketing analytics. Find out more about us at https://www.dentsuaegisnetwork.com.     About Dentsu Aegis Network’s Global Data Innovation Centre  As the world of data continues to grow exponentially in the advent of connected devices, IoT, industrialised digitization of the economy and the way people move through digitized networks, Dentsu Aegis seeks to harness the power of data and transform this into the creation of intelligent products and platforms.   The Dentsu Aegis Network Global Data Innovation Centre, hubbed in Singapore, is a strategic initiative to ensure that the Group harnesses this power effectively and at scale. This set up builds from the data innovation practice that was launched in 2012 and is now designed to deliver on global initiatives from Singapore.     Opportunity We invite people passionate about data, intelligence and application of same in the market place to join a growing team. You are a self-starter, motivated and yet collaborative. You can think on your feet, connect disparate dots, imagine connections and importantly, craft approaches to turn ideas and imagination into real capabilities, inspired by data. You are excited by your work going live in the market with clients and teams around the world.     Key Accountabilities As a Knowledge Engineer on this team, you will be responsible for extracting data from sources across the web and structuring data to provide coverage for questions across a broad range of business categories.  In this role, you will:  Expand and maintain the platform’s ability to understand and answer questions for customers Design data processing scripts to extract knowledge from a broad range and formats of data sources Design complex and efficient ETL pipelines to process large amounts of structured and unstructured information Have exposure and experience with experience with data-warehouse, relational and NoSQL databases ","Requirements Bachelor’s degree in Computer Science or Information Systems, with specialisation in Knowledge Engineering 2+ years of relevant working experience; fresh graduates can apply Proficient in Python with experience in data/text processing Bias to action and ambitious personality Ability to work autonomously with minimal supervision Familiarity with cloud computing ecosystem (AWS and/or Google Cloud Platform) "
934,Company Undisclosed,Senior Manager (Ref 22458),,"Permanent, Contract, Full Time","Middle Management, Manager, Professional",Information Technology,"$5,000to$10,000","Roles & ResponsibilitiesResponsibilities- Work on analysis of health care information obtained various source systems. - Provide input to the development, maintenance and promulgation of the blue prints, roadmaps and reference architectures for Data Analytics infrastructure and services. - Perform analysis of new requirements and develop solutions, and manage solution delivery through acquisition or change control - Revise existing design specifications and development of new specifications. - Manage the development of queries to satisfy functional requirements. - Manage the development of analytical artefacts, including dashboards, reports and graphs as required. - Provide advice on high-level Business Intelligence, Data warehouse or Advanced Analytics solution designs. - Evaluate technologies/services, providing regular reporting on emerging trends, value add information and potential impact to the healthcare landscape. - Proactively achieve the IT strategic, broader business and IT objectives through influencing stakeholder outcomes. - Assist in vendor management to ensure contracted vendors deliver solutions that is architecturally sustainable and scalable    ","Requirements  Requirements - Degree/Master in Computer Science, Information Technology, Computer Engineering or equivalent. - Five years’ experience in providing data warehouse or advanced analytics solutions. - Must be able to understand and implemented Apache Hadoop and the Hadoop ecosystem - Experience with - databases (e.g. Oracle, DB2, MS SQL, MySQL, Teradata, Greenplum) - data repository design (e.g. operational data stores, dimensional data stores, data marts) - data interrogation techniques (e.g. SQL, NoSQL). - structured and unstructured data analytics. - statistical computing programming language (e.g. R). - data quality tools and processes. -  data transformation and terminology equivalence mapping. - Experience in data modelling for analytics (e.g. star schemas, snowflake schemas). - Deep understanding of analytical models and methodologies – especially in the context of health analytics for clinical use and clinical safety (e.g. data mining, predictive analytics). - Experience with data acquisition tools (e.g., ETL, real-time data capture, and change data capture). - Comfortable working independently to carry out data analysis, estimate data quality and sufficiency. Understanding and analysing huge volumes of data drawn from heterogeneous sources / repositories. - Exposure to the development, evolution and adherence to the architectures relevant to the domain. - Experience with Business Intelligence Tools (e.g. SAS, SPSS, Cognos, Microstrategy, Microsoft analysis services, Business Objects). - Advance knowledge of Excel features and techniques required for the presentation of data. - Ability to work with a wide variety of report generation software (e.g. SSRS, Crystal reports) and generate a wide variety of outputs (dashboards, scheduled reports). - The ability to work towards strict and conflicting deadlines, be able to plan and prioritise in an environment with multiple stakeholders. - Good interpersonal skills, a detail-oriented & flexible person who can work across different areas within the team. - Familiarity or experience with health informatics would be preferred. - An understanding of healthcare data governance, data acquisition and data management would be an advantage. - Experience in interacting with analytics stakeholders (economists, statisticians, clinicians, policy makers) on a business or domain level would be preferred.   License No.: 12C6060"
935,ACCESS BUSINESS GROUP SINGAPORE PTE. LTD.,Senior Supply Chain Analyst,,Permanent,Manager,Logistics / Supply Chain,"$7,000to$8,000","Roles & Responsibilities Perform end-to-end supply chain analysis Perform inventory modeling/ optimization including supply/ demand variability analysis and inventory service level maximization Design and implement innovative global supply chain strategies, programs and practices that address capacity issues, reduce total supply chain costs, reduce inventory, reduce lead times and maximize customer service levels in support of global business growth. Identifies supply chain improvement opportunities and makes the business case for new process implementation Conducts external benchmarking reviews and business process reviews to implement best practices and monitor and adjust program as necessary. Develops and implements portfolio management process, systems, metrics and analytics (including key performance indicators); leads gap analysis. ","Requirements Minimum Degree in Business Management, Supply Chain, Engineering or other related field Minimum 8 years relevant working experience Experience with optimization techniques for distribution such as warehouse location costs vs transport costs, service level vs carrying cost etc. Experience with supply chain modeling software, Supply Chain Guru, IBM Optimization tools/ software experience is a plus Analytical & data interpretation skills Global culture mindset "
936,ERNST & YOUNG ADVISORY PTE. LTD.,"Forensic Technology & Discovery Services Senior Manager (Digital Forensics), Assurance, Singapore",1 RAFFLES QUAY 048583,Permanent,Middle Management,Consulting ,"$8,000to$16,000","Roles & ResponsibilitiesOur innovative Forensic Technology & Discovery Services (FTDS) team, a specialty group within Fraud Investigation & Dispute Services, provides leading technology and expertise in data driven support of complex litigation cases and business issues, allowing our clients and their counsel to make informed, strategic decisions. The services which we provide are wide ranging and include dispute resolution, fraud and other financial investigations, anti-money laundering, construction claims, licensing examinations and insurance claim reviews. We help clients proactively prevent and detect fraud, waste and abuse by leveraging the knowledge inside all of a client's structured and unstructured data assets. This is achieved by combining deep forensic investigation knowledge with advanced data analytics techniques such as investigative data linking, social network analysis, statistics, artificial intelligence, machine learning & predictive modeling. EY is on the cutting-edge in current trends in fraud and forensic investigations and serves as a quality-focused liaison between our clients and law enforcement. We have staff and offices in Hong Kong, Shanghai, Beijing, Singapore, Seoul, Manila, Kuala Lumpur and Jakarta, as well as Melbourne, Sydney, Brisbane, Perth, Adelaide and Auckland. We are part of a global network of over 1000 forensic services professionals within the EY global organization.   About the opportunity In your role as a Digital Forensics Senior Manager, you’ll be:  Leading and supporting digital forensic investigations while providing incident response services to investigate, detect, analyze and respond to potential intrusions Managing high performing teams to perform onsite data collections, extraction, analysis Perform data discovery tasks in our secure digital forensic lab and our hosted forensic data center Leverage technology to continually learn, improve service delivery and maintain our leading edge best practices Building trusted advisor relationships with client executives and writing of business proposals Acting as a subject matter expert in advising clients to gain greater insight into their data and the value that strong data security practices can bring to an organization. ","RequirementsAbout you We’re looking for people with the following experience:  A bachelor’s degree and at least 8 years of related work experience At least one professional designation ( e.g. EnCE, ACE, CCE, CCFP, CISSP or GIAC forensic certifications, or be in the process of attaining one of these professional designations) Relevant, in-depth understanding of computer forensic principles including incident response, network monitoring, eDiscovery, or malware analysis Working knowledge of hardware configuration and network/data communications; software development and/or scripting; Database technology and database exploitation/forensics; law enforcement evidence seizure; and/ or conducting intelligence analysis and fact based reporting Excellent project management skills with strong written and verbal communications with willingness to travel Ability to conduct executive briefings at industry events / seminars and manage alliance relationships    What we look for We’re interested in leaders with a genuine creative vision and the confidence to make it happen. You can expect plenty of autonomy in this role, so you’ll also need the ability to take initiative and seek out opportunities to improve our current relationships and processes. If you’ve got the right combination of technical knowledge and communication skills and ready to take on some of our clients’ most complex issues, this role is for you.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:  Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way that’s right for you    About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality. If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now."
937,Company Undisclosed,Data Analyst,,Full Time,Professional,Others,"$5,000to$9,000","Roles & Responsibilities Develop and implement data collection, data analytics and other strategies to analyze statistical efficiency and guide decision-making Work with data scientists and other functions to deep dive on core issues and prioritize business and information needs Measure and analyze algorithm and model performance, uncover insights and/or identify targeted areas for improvements Design experiments and A/B tests, and operationalize them Monitor performance metrics to identify issues, new process or feature improvement and business growth opportunities Effectively conceptualize analysis to various stakeholders Design and implement reports and performance measurement dashboards ","Requirements A Bachelor's/Master’s degree, preferably in Analytics, Statistics, Mathematics, Economics or Engineering Minimum 2+ years relevant work experience in an analytics or insights related role. Technical expertise regarding data models, data mining and segmentation techniques. Strong foundation in data query/manipulation using SQL and data visualization using tools like Tableau Strong programming languages like R, Python, SPSS, Matlab or other tools for statistical analysis Strong analytical skills with the ability to collect, organize and analyze significant amount of information with attention to detail and accuracy Adept at queries, report writing and presenting findings Self-motivated and independent learner who is willing to share knowledge with the team Detail-oriented and efficient time manager who thrives in a dynamic and dynamic working environment "
938,A*STAR RESEARCH ENTITIES,Scientist (Data Analytics)  /  I2R (A*STAR),"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Professional,Sciences / Laboratory / R&D,"$4,500to$9,000","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for a data scientist who can contribute on text mining-related projects. Researchers with expertise in the areas of natural language processing, deep learning, machine learning, ontology engineering and/or knowledge-based data analytics are welcome. In particular, we may collaborate with the successful candidate to establish research milestones in integrating text mining with common-sense and/or domain knowledge by constructing, populating and/or engineering ontology (or knowledge base). Responsibilities:  Deliver results: Develop new technologies, improve performance  Demonstrate long-term vision, while effectively supporting short-term goals ",Requirements PhD in computer science or related topics  Being an excellent team player Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.
939,NATIONAL UNIVERSITY OF SINGAPORE,Teaching assistants (universities),21 LOWER KENT RIDGE ROAD 119077,Full Time,Professional,Education and Training,"$4,500to$5,000","Roles & ResponsibilitiesTeaching Assistants Department of Computer Science & Department of Information Systems and Analytics National University of Singapore   The Department of Computer Science and Department of Information Systems and Analytics are recruiting Teaching Assistants for for Semester 1 of Academic Year 2018/2019. A Teaching Assistantship is an excellent starting point for a career in academic teaching.  Teaching Assistants gain teaching experience during graduate studies, which is welcomed by future employers in academia and beyond.","RequirementsWe accept any computing-related degree (eg. IS, CS, etc).  If you plan to continue your studies at School of Computing as a PhD student on a part-time basis with the Department, and have obtained a Honors (Highest Distinction) or Honors (Distinction), you may also apply.     Interested applicants, please submit the following documents: 1.       Detailed Curriculum Vitae 2.       Copies of educational certificates and transcripts (please also forward copies of the official English translations if the original certificates/transcripts are not in English.) 3.       Teaching statement 4.       Two referee's reports (please note the School's requirement that referee reports from peers such as Research Assistant/Associate/Fellow and Ph.D. students are inadmissible.)"
940,NTT DATA SINGAPORE PTE. LTD.,Credit Business Analysts,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,"Manager, Professional, Senior Executive","Banking and Finance, Information Technology","$7,000to$10,000","Roles & ResponsibilitiesThis role requires an experienced Business Analyst, with 1st hand knowledge of E2E credit life cycle management from credit origination to credit monitoring, to implement the product backlog via Agile processes. The candidate is expected to grasp the current operating model upon joining, and work to define the target state operating model for the team (to which he is assigned to). In addition, the candidate will be working as part of virtual team with members in both DBS Singapore head-office, as well as our Offshore Development Center (ODC), with regular visits to the ODC team. Key Roles and Responsibilities On a day to day basis, the desired candidate will be responsible:  Incepting teams, initiate requirements gathering, and conceptualizing initial MVP Build and manage product backlog with Developers, UI/UX Designers, Product Owners as part of continuous build-measure, and learn process Engage UI/UX Designers, Users on Product design, testing for continuous feedback, by conducting user interviews, synthesizing findings and learning with the team, and using feedback to groom and prioritize product backlog Work with the team to prioritize, and implement pipeline(s) for continuous release and deployment Lead engagement of external parties (business, tech) where there are product dependencies (e.g. interfaces, data, project/release, clarifications) Engage Users to define user story acceptance criteria, and validate user stories for acceptance Motivating the team and create a work environment that supports experimentation, learning and continuous improvement Publish the team burn-up/burn-down for MVP delivery, or otherwise identify and publish other metrics of the team’s progress ","Requirements Knowledge of Credit risk management processes, to manage products under the banking book (Lending, Trade Finance and CASA), and E2E credit risk management operating model Agile experience in product backlog management, testing Proven track record in the delivery of credit risk technology solutions Minimum of 5 years of working experience within an international banking environment, with at least 2 years in a credit-related domain A motivated self-starter with ability to multitask but requires minimal supervision to meet challenging targets, embody a `whatever it takes to get the job done attitude Able to operate independently and make sound decisions, but a team player with collaborative attitude and enjoys working in teams Effective problem solving and analytical skills with attention to detail, while maintaining a big picture outlook    Desired  Experience in descriptive and quantitative statistics, and in the manipulation, analysis, and visualization of data Experience coaching, guiding and enabling teams in Agile delivery processes, practices Experience working with virtual teams on project delivery A Bachelor’s degree in social science or engineering or equivalent work experience Understanding of current technologies employed by Tier 1 Financial Institutions "
941,POSSIBLE WORLDWIDE PTE. LTD.,Senior Account Executive,"HARBOURFRONT CENTRE, 1 MARITIME SQUARE 099253",Full Time,Executive,"Advertising / Media , Marketing / Public Relations ","$3,000to$6,000","Roles & ResponsibilitiesThe Senior Account Executive will play an active role in supporting the client across its consumer & enterprise business. Beyond the day-to-day responsibility of ensuring materials and campaigns are delivered on time and on budget, the incumbent will gain good exposure and experience around strategic planning, marketing analytics and consumer engagement tactics. The ideal candidate is a self-starter passionate about all things digital and an excellent communicator who can build trusted relationships with multiple stakeholders.   KEY RESPONSIBILITES:  Accountable for timely execution and financial management of assigned account/projects Coordinate workflows between internal teams, multiple client stakeholders and third-party agencies Preparation of creative/tactical briefs and digital assets required for production Manage content updates and optimization of designated workflow channels ","RequirementsREQUIREMENTS:  Minimum of a BA/BS degree; Marketing, Business or Communications degree preferred Two to three years’ prior agency experience, working remotely with clients at the regional level Thorough understanding of agency functions for Global clients Strong project management and timely communication skills Detail oriented, with excellent follow through response record Strong sense of initiative and ability to work under pressure Comprehensive understanding of online/digital marketing with video and print technologies Interest in operational performance tracking & data analytics is a bonus Sound computer skills and willingness to learn new technologies. Proficient use of Adobe Acrobat, Microsoft Office, and industry standard marketing tools/platforms Candidate must be fluent/proficient in English and Korean (Read, Spoken & Written) Added advantage for multilingual capabilities – English, Korean, Japanese, Chinese "
942,NTT DATA SERVICES SINGAPORE PTE. LTD.,Project Coordinator,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Senior Executive,Information Technology,"$5,000to$7,500","Roles & Responsibilities Excellent communication skills Good presentation skills Document writing skills (Paragraph alignment, Right words, use the correct symbols, Formats, spacing etc…)  Report preparation for senior stake holders. Good interpersonal skills.  ","Requirements Excellent communication skills Good presentation skills Document writing skills (Paragraph alignment, Right words, use the correct symbols, Formats, spacing etc…)  Report preparation for senior stake holders. Good interpersonal skills."
943,INTERCONTINENTAL HOTELS GROUP (ASIA PACIFIC) PTE. LTD.,"Manager, Sales Effectiveness - SEAK","BUGIS JUNCTION, 230 VICTORIA STREET 188024",Permanent,Manager,Sales / Retail ,"$6,000to$11,000","Roles & ResponsibilitiesWhat's your passion? Whether you're into yoga, chess or cooking, at IHG we're interested in YOU. We love people who apply the same amount of care and passion to their jobs as they do their hobbies - people who help us create great hotels guests love. At the moment we're looking for a Manager, Sales Effectiveness - SEAK to join our fun and energetic team at Singapore Corporate Office.    Job Summary – (Role Summary) The Sales Effectiveness Manager is responsible for designing, implementing, maintaining, and measuring sales standards, processes and best practices for Global Sales-SEAK Sales that will enable maximum performance from the EMEAA-SEAK Sales team. This role will manage the development and successful implementation of sales effectiveness strategies and programs; including developing and refining sales training for IHG Javelin in partnership with the IHG Way of Sales, redevelopment of key sales training programs to incorporate concepts related to Sales Challenger and Insight Selling. The role will also be instrumental in providing critical feedback to drive account production and identify best practices and/or sales skills gaps for additional sales training. In addition, this role will support key projects for Global Sales Effectiveness, including development, implementation and management of key communications, support of strategic and tactical programs, and analytics for SEAK leadership.   Essential Duties and Responsibilities – (Key Activities)  Define and drive sales effectiveness with internal and external stakeholders/sources to ensure the sales function continuously evolves in its sales standards, processes, and efficiencies to offer the greatest return to IHG, owners and customers. Provide strategic and tactical market and customer insight that will ensure that Regional Sales is continuously aligned to the correct account base and the correct deployment of resource to support the growth of the portfolio. Evolve the planning and reporting function of sales that ensures visibility, alignment and transparency of activity, while providing meaningful and insightful reporting to sales leadership. Work closely with the Director in technology within the SEAK Sales team. Continue to enhance, develop, and facilitate implementation of the sourcing, deployment, training, and managerial procedures for all sales technology systems such as IHG Javelin, IHG RFP, and MeetingBroker to ensure the sales team maximizes these tools. Work closely with Global Sales Team to manage all sales tools standards, processes and on-going training and adoption within SEAK Sales. Assist Segment Heads or other Sales Operations team members with on-going projects and communication of sales processes and standards. Manage and deliver monthly communications with the SEAK team on continuous improvement, adoption, and optimization of all sales tools & programs. Provide insight and analytics on sales tools; including oversight of data integrity and team member adoption. Deliver key account insight to enable sales leadership to evaluate such things as sales team account loads, key account activities, business development activities and opportunities, hotel related activities, RFP & leads data and other insight as requested that will help sales leadership to drive maximum revenues and sales contribution to IHG from key accounts. Work with Director/Senior Manager on implementing, measuring and auditing sales team use and adoption and provide on-going reports and information to sales leadership on sales tools engagement. Work with Global Sales & SEAK Sales team members on reporting data and other insight/analytics as needed / required by the Director and/or sales leadership. ","RequirementsEducation – Bachelor's degree in Business, Hotel Management, Sales/Marketing or a relevant field of work, or an equivalent combination of education and work-related experience. Experience – 6-10 years progressive work-related experience in the Hotel Industry, including national/global sales experience, with demonstrated proficiency in multiple disciplines/processes related to the position, as well as 2 years prior supervisory or team leader experience.   Technical Skills and Knowledge –  Demonstrated sales management experience in organizing, planning and executing large-scale sales programs, processes, and projects from conception through implementation. Demonstrated effective verbal and written communication skills for providing information to clients, vendors, senior management, and staff. Strong relationship management skills, and well-developed negotiating and persuading abilities required. Demonstrated proficiency in software systems for sales tracking, training and reporting purposes including Microsoft Excel, Microsoft Word, Microsoft PowerPoint, O365 and Outlook, Salesforce.com, and GDS connectivity knowledge, 1`1`1`ideally should also know/understand Holidex Plus and IHG Data mart systems, along with working knowledge of the transient RFP process and systems used for distribution of RFPs from clients to hotels. Demonstrated understanding of the contracting process for Groups & Meetings and working knowledge of Delphi FDC. Demonstrated knowledge of competitors’ sales strategies, positions, initiatives, and sales processes. Demonstrated understanding of training procedures and techniques, and ability to develop and present training tools and materials both in person & electronically. Demonstrated knowledge of hotel operations and systems, and demonstrated ability to develop effective sales plans using this knowledge. Detail oriented with demonstrated proficiency in analytics and reporting writing. Knowledge of IHG product & brands, sales & marketing programs, and key account management strategies. Demonstrated knowledge of electronic distribution – GDS & Internet, hotel operations, central reservations, global sales operations, Request for Proposal (RFP) process, and CRO/GDS rate loading strongly preferred.    In return, we'll give you a competitive benefits package including salary, discounted accommodation world wide and the opportunity to progress your career with IHG.  You'll have the chance to work with a great team of people, and most importantly, we'll give you Room to be yourself. So what's your passion? Please apply on-line and tell us how you can bring your individual skills to IHG. To find out more about us or any other jobs with IHG please look at careers.ihg.com"
944,SKILLSFUTURE SINGAPORE AGENCY,"Senior Manager / Manager, Business Services (Statistics & Analysis) (Integrated Business Services Division)","ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989",Full Time,,Public / Civil Service,,"Roles & ResponsibilitiesResponsibilities Reporting to the Deputy Director, the successful candidate will be responsible for performing data extraction, manipulation and analysis to facilitate business process design, augment operational efficiency and improve service delivery.  Work on large datasets and perform data extraction, collation, tracking, mining and analysis Collate statistics and prepare information for regular reporting Perform data analytics and report results Draw insights from data analyses to inform policy, system and programme enhancements  Assist in providing evidence-based, data-backed recommendations for better funding administration and risk management Use information in administrative datasets to identify opportunities for operational enhancements in support of business process re-engineering  Requirements  Tertiary qualifications preferably with some specialisation in statistics and quantitative analysis Up to 7 years of relevant work experience in data and statistical/quantitative analysis Possess good analytical and problem solving skills Able to work independently, within a team and across teams Good interpersonal relationship skills and be able to adapt to fast pace of work Good verbal and written communication skills, including stakeholder management and presentation skills Proficient in word processing, spreadsheet and presentation  applications Candidates without the required qualifications but with relevant experience are welcome to apply ",
945,NTT DATA SERVICES SINGAPORE PTE. LTD.,Security Analyst  /  IT Information Security Specialist,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Permanent,Professional,Information Technology,"$6,000to$7,500","Roles & Responsibilities Validating automated testing results and prioritize based on overall risk  Verify findings as needed with application development team Perform application scanning using binaries  Perform manual source code review for security vulnerabilities  Write formal security assessment report for each application, using our company's standard reporting format  Participate in conference calls with engineering team to ensure proper scan coverage and effective results  Report directly to management for any major flaws identified Re-run the scans on weekly basis  Participate in conference calls with application team to help understand the security risk, if required ",Requirements Mandate Skills – Source Code review / Vulnerability Assessment Strong development background java/ .net exp CEH/CISSP Good if have  scripting exp CSS scripting ( cross site scripting ) 
946,AUDIENCE ON DEMAND,Senior Account Manager,"MAPLETREE ANSON, 60 ANSON ROAD 079914","Permanent, Full Time",Middle Management,Advertising / Media ,"$6,000to$12,000","Roles & ResponsibilitiesThe Senior Account Manager owns strategic planning and campaign execution for an assigned client. This position is both strategic and tactical in scope, requiring the incumbent to independently generate strategic insights for the campaigns in his/her portfolio and implement campaigns with the support of Campaign Specialists.   Senior Account Manager trains Campaign Specialist on client specific requirements, providing expertise in optimization strategies and guidance on best practices related to client communication.   The ideal candidate will have prior online trafficking and campaign management experience, strong analytical and communication skills, and prior experience with bid management platforms and active campaign optimization.  Sr. Campaign Managers must possess a strong inner drive to contribute.  Key Responsibilities:  Act as primary liaison between Precision and agency account teams Formulate proposals for new client opportunities that effectively communicate digital strategies and rationales for tactical approaches for each campaign and oversee the creation of detailed media plans Execute, manage, and optimize online media campaigns and programs for agency clients (e.g. auction/exchange based performance media, audience-based buying, remarketing campaigns) while meeting or surpassing client performance expectations Work with the Client Service Directors on larger and more strategic accounts and client relationships to provide enhanced insights and actions to encourage and support greater investments in programmatic. Develop, grow, and maintain relationships with Precision customers through exceptional client service Manage the delivery of creative assets, insertion orders, campaign artifacts, and all relevant campaign documentation in preparation for campaign launch Partner with Analytics team on campaign measurement reporting and insights generation Provide regular insights to clients detailing performance, campaign optimizations, and new opportunities Work with media partners to ensure accurate platform implementation Troubleshoot issues on all pre-production and live campaigns Oversee campaign QA process Provide monthly auditing reports to Agency partners and actualize bill/pay systems when applicable Lead and assist in coaching, managing, and educating Campaign Managers and Campaign Specialists, helping to support campaigns Attend client meetings, as needed Participate in regular knowledge share sessions to share and learn new strategies for optimizing and enhancing campaign performance ","Requirements Four-year college degree 3+ years of integrated experience managing Search, Display, Video, Social and/or Mobile Programmatic Media Buying Working knowledge and programmatic buying experience should include technologies such as The Trade Desk, DoubleClick Bid Manager, Adobe Media Optimiser Client facing experience with the ability to identify risks and effectively manage through issues Understanding of interactive media planning elements with traditional media understanding a plus Previous leadership experience a plus Proficiency in Microsoft Office solutions Strong analytical thinking and mathematical skills Excellent communication and writing skills Strong project management skills Strong desire to contribute to a team "
947,A*STAR RESEARCH ENTITIES,Scientist (Robotics & Autonomous Systems)  /  I2R (A*STAR),"UOB PLAZA, 80 RAFFLES PLACE 048624","Contract, Full Time",Professional,Sciences / Laboratory / R&D,"$4,500to$9,000","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are seeking candidates with passion to conduct R&D in the exciting area of service robotics, with the eventual goal of translating successful research outcomes to the real world. You will be part of our team developing autonomous mobile robots/vehicles for outdoor with relatively high speed on road. The required background knowledge, experience, and related skill includes but are not limited to:  Experience with mobile robotics or Autonomous Vehicle system Knowledge on path-planning, control, navigation mechanism Knowledge and experience on LIDAR-based and/or vision-based navigation Knowledge on the basics of recursive Bayesian estimation methods, such as KF (Kalman Filter), Extended KF, Unscented KF, and PF (Particle Filter) and SLAM   ","Requirements PhD in Mechanical, Electrical, or Computer Science/Engineering, Machine Learning, or related fields Minimum 1 year's hands on experience in autonomous mobile robot/vehicle related research and development Strong software development skills in C/C++, Python Good knowledge on ROS, Linux and/or DDS related middleware Familiarity with emerging advanced navigation works in unstructured and crowded environment is an advantage Basic knowledge on machine learning and deep learning algorithms is an advantage Good team player attitude & behavior  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
948,AMBITION GROUP SINGAPORE PTE. LTD.,Scrum Master,"SOUTH BEACH TOWER, 38 BEACH ROAD 189767",Permanent,Manager,Information Technology,"$10,000to$15,000","Roles & ResponsibilitiesThe purpose of this role is to manage sprints for development of enhancements to an existing broker facing platform. This includes leading sprint planning sessions, daily stand up meetings, demos and sprint retrospectives. The successful candidate will be joining an organization that is adopting agile development approaches to software delivery and as such they will be expected to facilitate the evolution of the scrum/agile process within the team they join. The Scrum Master will be based in Singapore and will work with a Tech Lead, Business Analyst and Product Owner based in Singapore, and with a development team based offshore in Malaysia.  ","Requirements Agile Expertise – Coach team members on agile processes, help the organization mature its agile processes. Project/Scrum Management – Produce and maintain status updates, velocity trackers, product backlogs, etc. as required. Project/Scrum Management – Lead daily stand ups, sprint planning sessions, retrospectives and demos as part of the sprint lifecycle. Project/Scrum Management – Provide regular updates to broader stakeholders on status of the sprint. Project/Scrum Management – Deliver sprints to schedule. Project/Scrum Management  - Escalate issues and clear any blockers for the team promptly. Experience with agile tools and methodologies such as burn down charts. Experience working with organizations that are transitioning to agile processes, as well as organizations with mature agile processes, preferred. Ability to lead daily stand up meetings, including resolving roadblocks through mediation and escalation as required. Scrum Master certification preferred. Can work in high pressure, demanding environments and deliver high quality results. Experience running sprints with offshore development teams preferred. Experience with agile/project management software preferred. Experience in the insurance industry preferred. "
